City,Locality,Property Type,BHK,Area (SqFt),Price (Lakhs),Price per SqFt (Lakhs),Furnishing,Property Age (Years),Nearby Schools,Nearby Hospitals,Parking,Security,Availability
Ahmedabad,Bopal,Villa,1,1258,110.67,0.09,Unfurnished,5,10.0,4.0,No,Yes,Under_Construction
Ahmedabad,SG Highway,Independent House,2,2411,374.86,0.16,Semi-furnished,13,6.0,10.0,Yes,Yes,Under_Construction
Surat,Pal,Apartment,1,1723,59.56,0.03,Furnished,2,2.0,8.0,No,No,Under_Construction
Surat,Althan,Apartment,2,4660,484.71,0.1,Semi-furnished,31,1.0,4.0,Yes,No,Ready_to_Move
Ahmedabad,Gota,Villa,3,3025,441.48,0.15,Furnished,32,6.0,9.0,No,Yes,Ready_to_Move
Surat,Pal,Independent House,4,2478,418.01,0.17,Furnished,33,2.0,7.0,Yes,No,Ready_to_Move
Ahmedabad,Navrangpura,Independent House,3,1592,427.25,0.27,Unfurnished,12,10.0,4.0,No,No,Ready_to_Move
Ahmedabad,Gota,Villa,3,4517,21.5,0.0,Semi-furnished,6,5.0,1.0,No,No,Under_Construction
Ahmedabad,Navrangpura,Apartment,3,1263,20.0,0.02,Semi-furnished,7,10.0,2.0,No,No,Under_Construction
Surat,Pal,Villa,2,1716,399.11,0.23,Semi-furnished,20,2.0,4.0,Yes,Yes,Under_Construction
Surat,Piplod,Apartment,2,3550,456.19,0.13,Unfurnished,15,8.0,7.0,No,No,Ready_to_Move
Surat,Adajan,Apartment,3,4065,421.79,0.1,Furnished,9,10.0,1.0,Yes,Yes,Ready_to_Move
Surat,Pal,Villa,4,2889,310.35,0.11,Furnished,24,3.0,9.0,Yes,Yes,Under_Construction
Ahmedabad,Gota,Villa,2,4252,453.67,0.11,Semi-furnished,31,5.0,10.0,Yes,No,Ready_to_Move
Surat,Pal,Apartment,5,2446,100.12,0.04,Semi-furnished,8,2.0,5.0,No,Yes,Ready_to_Move
Surat,Adajan,Apartment,2,2105,239.08,0.11,Unfurnished,2,6.0,1.0,No,Yes,Under_Construction
Surat,Althan,Apartment,4,2053,233.6,0.11,Unfurnished,29,2.0,5.0,No,No,Ready_to_Move
Surat,Vesu,Independent House,3,4184,402.57,0.1,Furnished,23,8.0,9.0,No,Yes,Under_Construction
Surat,Piplod,Apartment,2,2001,223.15,0.11,Furnished,3,1.0,6.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Villa,3,4953,425.36,0.09,Furnished,22,7.0,2.0,No,No,Ready_to_Move
Ahmedabad,Gota,Villa,3,4718,30.53,0.01,Semi-furnished,7,10.0,4.0,No,No,Ready_to_Move
Ahmedabad,Bopal,Villa,1,3021,65.55,0.02,Unfurnished,35,6.0,3.0,No,No,Ready_to_Move
Ahmedabad,SG Highway,Independent House,2,2229,420.3,0.19,Semi-furnished,14,8.0,1.0,Yes,Yes,Ready_to_Move
Ahmedabad,Bopal,Apartment,2,1201,126.8,0.11,Unfurnished,15,4.0,9.0,Yes,Yes,Ready_to_Move
Ahmedabad,SG Highway,Apartment,3,2222,96.92,0.04,Unfurnished,13,8.0,7.0,Yes,No,Under_Construction
Surat,Althan,Independent House,1,1501,332.17,0.22,Unfurnished,13,10.0,6.0,Yes,No,Ready_to_Move
Ahmedabad,Navrangpura,Independent House,4,1068,59.04,0.06,Semi-furnished,15,2.0,3.0,No,Yes,Ready_to_Move
Ahmedabad,Satellite,Villa,2,2441,132.25,0.05,Furnished,12,1.0,8.0,No,Yes,Under_Construction
Surat,Piplod,Independent House,3,4889,136.02,0.03,Unfurnished,14,6.0,8.0,No,Yes,Under_Construction
Surat,Vesu,Apartment,4,970,400.78,0.41,Semi-furnished,19,3.0,8.0,No,Yes,Ready_to_Move
Surat,Adajan,Independent House,1,2890,358.23,0.12,Unfurnished,18,10.0,10.0,No,No,Under_Construction
Surat,Pal,Apartment,5,706,47.1,0.07,Unfurnished,7,5.0,4.0,Yes,No,Ready_to_Move
Ahmedabad,SG Highway,Apartment,1,3325,496.03,0.15,Furnished,16,10.0,4.0,Yes,Yes,Ready_to_Move
Surat,Piplod,Apartment,5,3270,242.26,0.07,Furnished,21,5.0,1.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Villa,4,1599,373.27,0.23,Unfurnished,31,7.0,9.0,No,Yes,Ready_to_Move
Surat,Althan,Apartment,5,2158,370.23,0.17,Semi-furnished,13,4.0,2.0,No,No,Under_Construction
Ahmedabad,Satellite,Independent House,3,3767,37.72,0.01,Furnished,28,3.0,7.0,Yes,Yes,Ready_to_Move
Ahmedabad,Satellite,Villa,1,3254,184.78,0.06,Unfurnished,15,4.0,7.0,Yes,No,Under_Construction
Ahmedabad,Satellite,Villa,5,2370,238.82,0.1,Unfurnished,30,2.0,3.0,No,Yes,Ready_to_Move
Ahmedabad,Bopal,Independent House,2,3444,189.12,0.05,Semi-furnished,5,10.0,9.0,Yes,Yes,Ready_to_Move
Surat,Althan,Apartment,2,1185,365.17,0.31,Semi-furnished,10,2.0,5.0,No,No,Ready_to_Move
Ahmedabad,Bopal,Apartment,5,4738,360.34,0.08,Unfurnished,34,5.0,7.0,No,Yes,Ready_to_Move
Surat,Piplod,Villa,5,1545,43.29,0.03,Furnished,21,3.0,4.0,No,No,Under_Construction
Surat,Vesu,Apartment,4,1417,455.22,0.32,Semi-furnished,11,8.0,7.0,Yes,No,Under_Construction
Surat,Adajan,Independent House,2,1386,258.33,0.19,Unfurnished,21,4.0,10.0,Yes,Yes,Ready_to_Move
Ahmedabad,Bopal,Villa,1,2746,44.77,0.02,Semi-furnished,11,5.0,3.0,No,No,Ready_to_Move
Ahmedabad,Satellite,Independent House,1,4785,95.72,0.02,Semi-furnished,30,6.0,7.0,No,Yes,Ready_to_Move
Surat,Piplod,Apartment,2,803,478.49,0.6,Unfurnished,5,5.0,1.0,Yes,Yes,Ready_to_Move
Ahmedabad,SG Highway,Independent House,5,3012,405.64,0.13,Unfurnished,18,9.0,3.0,Yes,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,5,3728,39.4,0.01,Unfurnished,2,1.0,7.0,No,Yes,Ready_to_Move
Surat,Piplod,Apartment,1,673,425.0,0.63,Unfurnished,7,3.0,9.0,Yes,Yes,Ready_to_Move
Ahmedabad,Gota,Villa,5,1192,359.96,0.3,Furnished,5,7.0,7.0,No,No,Ready_to_Move
Ahmedabad,SG Highway,Independent House,5,1706,264.24,0.15,Furnished,25,3.0,2.0,No,No,Ready_to_Move
Ahmedabad,Bopal,Apartment,1,4789,173.94,0.04,Unfurnished,26,3.0,2.0,No,Yes,Ready_to_Move
Surat,Althan,Apartment,1,4953,18.06,0.0,Furnished,11,4.0,5.0,Yes,No,Under_Construction
Surat,Althan,Villa,3,880,155.2,0.18,Semi-furnished,24,9.0,4.0,No,Yes,Under_Construction
Surat,Althan,Villa,3,2670,355.52,0.13,Furnished,14,5.0,6.0,Yes,Yes,Ready_to_Move
Ahmedabad,Gota,Independent House,3,2895,438.2,0.15,Unfurnished,7,6.0,7.0,No,No,Under_Construction
Surat,Althan,Villa,5,2697,271.49,0.1,Unfurnished,10,9.0,10.0,Yes,No,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,2,3560,15.04,0.0,Semi-furnished,24,10.0,8.0,No,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Independent House,5,4343,138.82,0.03,Unfurnished,7,4.0,9.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Villa,5,1225,319.94,0.26,Furnished,32,1.0,7.0,No,Yes,Ready_to_Move
Surat,Althan,Independent House,4,577,22.42,0.04,Furnished,25,1.0,2.0,Yes,Yes,Ready_to_Move
Surat,Vesu,Apartment,4,3979,463.92,0.12,Semi-furnished,10,8.0,2.0,No,Yes,Under_Construction
Surat,Althan,Independent House,2,1937,200.05,0.1,Unfurnished,35,7.0,1.0,No,Yes,Ready_to_Move
Ahmedabad,Gota,Apartment,1,3432,393.85,0.11,Furnished,26,7.0,4.0,No,Yes,Ready_to_Move
Ahmedabad,Satellite,Villa,3,4949,153.09,0.03,Unfurnished,15,3.0,8.0,No,Yes,Under_Construction
Ahmedabad,Bopal,Apartment,5,1435,328.8,0.23,Semi-furnished,26,10.0,1.0,Yes,Yes,Under_Construction
Surat,Pal,Independent House,3,3822,62.64,0.02,Unfurnished,19,3.0,10.0,No,No,Under_Construction
Ahmedabad,Satellite,Villa,2,3075,87.42,0.03,Semi-furnished,26,8.0,8.0,Yes,No,Ready_to_Move
Surat,Adajan,Villa,3,963,102.07,0.11,Unfurnished,24,8.0,5.0,Yes,No,Under_Construction
Surat,Piplod,Apartment,2,4758,80.45,0.02,Unfurnished,16,2.0,3.0,No,No,Ready_to_Move
Surat,Piplod,Villa,1,2157,193.21,0.09,Furnished,15,1.0,2.0,Yes,No,Under_Construction
Surat,Piplod,Apartment,3,923,60.72,0.07,Semi-furnished,21,8.0,4.0,No,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Villa,5,3889,15.96,0.0,Semi-furnished,15,10.0,6.0,Yes,Yes,Ready_to_Move
Surat,Vesu,Villa,2,3052,205.36,0.07,Unfurnished,12,4.0,8.0,No,Yes,Under_Construction
Surat,Adajan,Apartment,3,925,494.42,0.53,Semi-furnished,4,3.0,2.0,No,Yes,Ready_to_Move
Surat,Althan,Apartment,4,4979,10.43,0.0,Furnished,22,10.0,2.0,Yes,Yes,Under_Construction
Ahmedabad,SG Highway,Villa,2,1998,455.63,0.23,Furnished,4,6.0,3.0,Yes,Yes,Ready_to_Move
Surat,Piplod,Apartment,4,1294,111.76,0.09,Semi-furnished,3,2.0,4.0,No,No,Under_Construction
Ahmedabad,SG Highway,Villa,5,4220,367.99,0.09,Unfurnished,25,2.0,10.0,Yes,Yes,Ready_to_Move
Surat,Althan,Villa,4,1579,424.06,0.27,Semi-furnished,5,8.0,4.0,Yes,Yes,Ready_to_Move
Surat,Adajan,Villa,4,785,352.59,0.45,Unfurnished,24,8.0,7.0,No,No,Under_Construction
Surat,Vesu,Villa,4,2389,323.38,0.14,Semi-furnished,33,3.0,4.0,No,Yes,Ready_to_Move
Surat,Piplod,Independent House,1,2560,232.16,0.09,Furnished,8,7.0,4.0,Yes,Yes,Ready_to_Move
Surat,Piplod,Apartment,1,3585,400.2,0.11,Unfurnished,6,9.0,7.0,No,No,Under_Construction
Ahmedabad,SG Highway,Independent House,1,2161,303.06,0.14,Unfurnished,32,5.0,1.0,No,Yes,Under_Construction
Ahmedabad,Gota,Independent House,4,3846,40.98,0.01,Semi-furnished,16,8.0,10.0,Yes,No,Under_Construction
Surat,Pal,Villa,5,2248,343.03,0.15,Furnished,34,9.0,10.0,Yes,Yes,Ready_to_Move
Surat,Vesu,Independent House,4,756,334.79,0.44,Semi-furnished,14,3.0,5.0,No,No,Ready_to_Move
Ahmedabad,Satellite,Independent House,5,3432,86.77,0.03,Semi-furnished,10,3.0,1.0,Yes,No,Ready_to_Move
Ahmedabad,Bopal,Apartment,3,4602,404.26,0.09,Furnished,8,6.0,1.0,Yes,Yes,Ready_to_Move
Surat,Althan,Villa,2,2467,71.23,0.03,Unfurnished,30,5.0,7.0,No,No,Ready_to_Move
Ahmedabad,Gota,Independent House,3,3235,385.02,0.12,Semi-furnished,26,5.0,5.0,Yes,Yes,Under_Construction
Surat,Althan,Apartment,4,1054,129.3,0.12,Unfurnished,6,5.0,2.0,Yes,No,Ready_to_Move
Surat,Vesu,Apartment,2,1562,449.82,0.29,Furnished,18,3.0,8.0,No,No,Under_Construction
Ahmedabad,SG Highway,Apartment,5,2070,192.63,0.09,Semi-furnished,15,7.0,9.0,No,No,Ready_to_Move
Ahmedabad,SG Highway,Villa,3,1513,36.44,0.02,Unfurnished,26,2.0,7.0,No,No,Ready_to_Move
Ahmedabad,Gota,Apartment,4,3375,250.33,0.07,Unfurnished,28,7.0,10.0,Yes,Yes,Ready_to_Move
Ahmedabad,Satellite,Villa,3,2682,172.54,0.06,Semi-furnished,29,4.0,5.0,Yes,No,Ready_to_Move
Surat,Pal,Apartment,4,4749,161.63,0.03,Semi-furnished,10,10.0,3.0,No,No,Under_Construction
Ahmedabad,Navrangpura,Apartment,4,1151,465.09,0.4,Furnished,10,7.0,4.0,No,No,Under_Construction
Ahmedabad,Bopal,Independent House,3,3584,324.21,0.09,Furnished,6,9.0,1.0,Yes,Yes,Under_Construction
Ahmedabad,Bopal,Apartment,1,4548,159.23,0.04,Semi-furnished,16,6.0,1.0,Yes,No,Ready_to_Move
Ahmedabad,Navrangpura,Villa,4,3956,455.22,0.12,Furnished,18,5.0,1.0,No,No,Under_Construction
Ahmedabad,Gota,Villa,3,831,331.33,0.4,Furnished,14,2.0,6.0,No,No,Ready_to_Move
Surat,Althan,Villa,3,3387,411.98,0.12,Furnished,2,5.0,3.0,No,No,Ready_to_Move
Surat,Vesu,Apartment,3,3577,173.53,0.05,Unfurnished,19,6.0,9.0,Yes,Yes,Ready_to_Move
Ahmedabad,Gota,Independent House,4,4839,433.9,0.09,Unfurnished,12,10.0,10.0,No,Yes,Ready_to_Move
Ahmedabad,Gota,Independent House,3,4280,269.5,0.06,Furnished,26,8.0,4.0,Yes,No,Ready_to_Move
Surat,Adajan,Independent House,5,3153,245.46,0.08,Unfurnished,20,2.0,10.0,No,Yes,Under_Construction
Surat,Althan,Apartment,5,3888,433.54,0.11,Furnished,32,1.0,10.0,Yes,Yes,Ready_to_Move
Surat,Althan,Independent House,1,4085,270.84,0.07,Furnished,4,6.0,10.0,No,Yes,Under_Construction
Surat,Althan,Villa,4,2068,210.18,0.1,Furnished,21,3.0,1.0,No,Yes,Ready_to_Move
Ahmedabad,Gota,Villa,2,4283,456.24,0.11,Semi-furnished,21,6.0,3.0,No,No,Ready_to_Move
Ahmedabad,Gota,Villa,2,627,273.08,0.44,Semi-furnished,11,4.0,7.0,Yes,Yes,Under_Construction
Ahmedabad,Bopal,Independent House,5,1223,178.86,0.15,Semi-furnished,12,7.0,6.0,Yes,No,Ready_to_Move
Ahmedabad,Gota,Villa,5,4069,246.14,0.06,Semi-furnished,17,8.0,4.0,No,Yes,Under_Construction
Ahmedabad,Gota,Apartment,4,2225,494.64,0.22,Unfurnished,5,3.0,2.0,No,No,Ready_to_Move
Surat,Althan,Independent House,2,2469,402.28,0.16,Semi-furnished,25,3.0,10.0,No,Yes,Ready_to_Move
Surat,Adajan,Apartment,4,3758,316.03,0.08,Unfurnished,34,1.0,6.0,Yes,Yes,Ready_to_Move
Ahmedabad,Bopal,Villa,2,4067,151.52,0.04,Furnished,3,9.0,2.0,Yes,No,Ready_to_Move
Ahmedabad,Satellite,Apartment,5,3589,498.77,0.14,Unfurnished,5,6.0,9.0,No,No,Under_Construction
Ahmedabad,Satellite,Villa,1,1250,123.33,0.1,Furnished,11,4.0,7.0,No,No,Ready_to_Move
Surat,Piplod,Villa,1,2452,59.65,0.02,Semi-furnished,34,8.0,2.0,Yes,No,Under_Construction
Ahmedabad,SG Highway,Villa,3,2270,187.28,0.08,Furnished,17,3.0,6.0,No,No,Ready_to_Move
Surat,Adajan,Independent House,4,3696,487.88,0.13,Semi-furnished,24,10.0,9.0,No,Yes,Ready_to_Move
Surat,Piplod,Independent House,5,2392,357.56,0.15,Unfurnished,25,6.0,9.0,Yes,No,Under_Construction
Surat,Piplod,Apartment,5,4030,404.58,0.1,Furnished,35,7.0,7.0,Yes,Yes,Ready_to_Move
Ahmedabad,SG Highway,Apartment,5,1522,330.94,0.22,Semi-furnished,30,1.0,5.0,No,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Independent House,2,4084,279.99,0.07,Semi-furnished,10,4.0,4.0,Yes,Yes,Ready_to_Move
Ahmedabad,Bopal,Villa,3,1230,414.09,0.34,Furnished,34,8.0,2.0,No,No,Under_Construction
Surat,Vesu,Apartment,2,4882,217.56,0.04,Furnished,14,7.0,4.0,Yes,Yes,Ready_to_Move
Surat,Vesu,Independent House,1,2417,226.82,0.09,Furnished,30,9.0,8.0,Yes,No,Under_Construction
Ahmedabad,Gota,Apartment,4,3266,447.02,0.14,Unfurnished,4,4.0,2.0,Yes,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,3,3949,321.42,0.08,Unfurnished,4,1.0,2.0,Yes,No,Ready_to_Move
Ahmedabad,Gota,Independent House,2,655,143.58,0.22,Unfurnished,27,9.0,9.0,No,No,Ready_to_Move
Ahmedabad,Bopal,Apartment,2,3483,32.08,0.01,Unfurnished,14,4.0,4.0,No,No,Ready_to_Move
Ahmedabad,Gota,Apartment,4,4381,193.52,0.04,Furnished,15,4.0,4.0,No,No,Under_Construction
Surat,Adajan,Apartment,5,672,415.15,0.62,Furnished,19,10.0,8.0,No,Yes,Under_Construction
Surat,Vesu,Apartment,5,2848,499.93,0.18,Semi-furnished,22,8.0,9.0,Yes,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Villa,1,2881,319.16,0.11,Semi-furnished,16,5.0,1.0,No,No,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,3,4513,16.17,0.0,Semi-furnished,19,6.0,1.0,Yes,No,Ready_to_Move
Surat,Pal,Apartment,3,2002,339.21,0.17,Semi-furnished,23,3.0,1.0,No,Yes,Under_Construction
Ahmedabad,Navrangpura,Apartment,3,4609,133.24,0.03,Furnished,3,2.0,1.0,No,No,Under_Construction
Ahmedabad,Navrangpura,Independent House,3,4268,110.03,0.03,Semi-furnished,11,10.0,4.0,No,No,Ready_to_Move
Surat,Pal,Villa,3,3654,162.46,0.04,Unfurnished,8,7.0,1.0,Yes,Yes,Under_Construction
Surat,Piplod,Villa,2,4607,151.15,0.03,Unfurnished,27,4.0,4.0,No,Yes,Under_Construction
Surat,Pal,Apartment,5,2053,183.28,0.09,Unfurnished,11,8.0,4.0,No,Yes,Under_Construction
Ahmedabad,Gota,Villa,3,2215,61.97,0.03,Unfurnished,31,4.0,5.0,No,Yes,Ready_to_Move
Ahmedabad,Gota,Villa,3,3101,384.47,0.12,Furnished,24,8.0,8.0,No,Yes,Ready_to_Move
Surat,Althan,Villa,5,2624,45.34,0.02,Semi-furnished,5,7.0,3.0,No,No,Under_Construction
Ahmedabad,Satellite,Apartment,2,2620,227.3,0.09,Furnished,13,9.0,1.0,No,Yes,Under_Construction
Ahmedabad,SG Highway,Independent House,1,2111,305.83,0.14,Semi-furnished,2,2.0,8.0,No,Yes,Ready_to_Move
Surat,Vesu,Apartment,5,2812,271.86,0.1,Furnished,18,8.0,3.0,No,No,Ready_to_Move
Surat,Vesu,Villa,4,3096,329.78,0.11,Semi-furnished,13,1.0,2.0,No,No,Under_Construction
Ahmedabad,Gota,Apartment,3,2913,431.06,0.15,Furnished,10,1.0,10.0,No,No,Under_Construction
Ahmedabad,SG Highway,Apartment,4,4168,286.3,0.07,Unfurnished,20,9.0,3.0,No,No,Under_Construction
Surat,Piplod,Apartment,3,1007,391.24,0.39,Furnished,20,3.0,4.0,Yes,Yes,Under_Construction
Ahmedabad,Bopal,Villa,5,2595,482.01,0.19,Unfurnished,12,6.0,5.0,Yes,Yes,Under_Construction
Ahmedabad,Navrangpura,Villa,1,4217,147.8,0.04,Semi-furnished,32,5.0,8.0,No,No,Ready_to_Move
Ahmedabad,Satellite,Villa,5,1094,347.68,0.32,Semi-furnished,28,3.0,2.0,No,No,Under_Construction
Surat,Piplod,Villa,4,564,473.99,0.84,Unfurnished,16,5.0,8.0,No,Yes,Under_Construction
Surat,Adajan,Apartment,4,3817,57.04,0.01,Semi-furnished,14,3.0,6.0,No,No,Under_Construction
Ahmedabad,Bopal,Independent House,4,3956,364.67,0.09,Semi-furnished,34,5.0,5.0,Yes,No,Under_Construction
Ahmedabad,Satellite,Independent House,2,516,330.33,0.64,Semi-furnished,35,2.0,6.0,No,Yes,Under_Construction
Surat,Althan,Villa,1,1770,230.14,0.13,Unfurnished,19,2.0,3.0,Yes,No,Ready_to_Move
Surat,Althan,Independent House,3,848,27.13,0.03,Furnished,22,4.0,10.0,No,Yes,Under_Construction
Ahmedabad,SG Highway,Apartment,5,3455,160.56,0.05,Semi-furnished,16,9.0,8.0,No,No,Under_Construction
Surat,Adajan,Apartment,1,3215,403.99,0.13,Semi-furnished,4,6.0,5.0,No,Yes,Under_Construction
Surat,Althan,Independent House,1,2391,10.69,0.0,Unfurnished,2,6.0,9.0,No,No,Under_Construction
Ahmedabad,Satellite,Villa,1,2170,475.19,0.22,Unfurnished,32,8.0,10.0,Yes,Yes,Under_Construction
Surat,Vesu,Independent House,2,3352,256.33,0.08,Semi-furnished,27,1.0,3.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Villa,5,830,28.83,0.03,Furnished,11,6.0,8.0,No,Yes,Under_Construction
Ahmedabad,SG Highway,Independent House,5,4529,357.62,0.08,Unfurnished,5,5.0,1.0,No,No,Ready_to_Move
Surat,Pal,Independent House,5,3565,468.71,0.13,Semi-furnished,14,9.0,8.0,No,Yes,Ready_to_Move
Ahmedabad,SG Highway,Villa,2,2973,78.38,0.03,Unfurnished,32,3.0,7.0,No,No,Under_Construction
Ahmedabad,Satellite,Independent House,2,3402,85.05,0.02,Semi-furnished,12,6.0,10.0,Yes,No,Ready_to_Move
Surat,Piplod,Villa,5,850,40.8,0.05,Furnished,17,6.0,7.0,No,No,Ready_to_Move
Surat,Pal,Apartment,5,4435,81.98,0.02,Furnished,31,2.0,4.0,Yes,Yes,Under_Construction
Ahmedabad,Bopal,Independent House,1,2521,209.83,0.08,Unfurnished,24,9.0,1.0,Yes,No,Ready_to_Move
Surat,Althan,Independent House,4,3338,126.18,0.04,Semi-furnished,30,8.0,2.0,No,Yes,Ready_to_Move
Ahmedabad,Satellite,Apartment,2,2554,33.06,0.01,Furnished,23,3.0,3.0,No,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,5,1276,65.57,0.05,Unfurnished,30,6.0,2.0,No,Yes,Under_Construction
Surat,Vesu,Independent House,5,1698,426.45,0.25,Semi-furnished,25,10.0,1.0,No,Yes,Under_Construction
Surat,Vesu,Villa,5,1888,219.67,0.12,Semi-furnished,5,8.0,6.0,No,No,Ready_to_Move
Surat,Adajan,Independent House,4,2822,420.59,0.15,Unfurnished,28,7.0,7.0,No,No,Ready_to_Move
Ahmedabad,Bopal,Independent House,3,3634,180.39,0.05,Unfurnished,33,5.0,5.0,No,Yes,Under_Construction
Surat,Piplod,Independent House,4,3392,224.68,0.07,Furnished,28,7.0,3.0,No,Yes,Under_Construction
Ahmedabad,Bopal,Villa,2,4294,232.44,0.05,Semi-furnished,23,4.0,1.0,No,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Villa,3,3211,497.74,0.16,Semi-furnished,5,1.0,6.0,No,No,Ready_to_Move
Ahmedabad,Gota,Villa,2,2951,70.77,0.02,Semi-furnished,16,1.0,1.0,Yes,No,Under_Construction
Ahmedabad,Gota,Apartment,5,880,203.05,0.23,Semi-furnished,25,9.0,8.0,No,Yes,Under_Construction
Ahmedabad,Navrangpura,Apartment,4,3762,271.23,0.07,Furnished,23,8.0,7.0,Yes,Yes,Under_Construction
Ahmedabad,SG Highway,Apartment,4,833,127.34,0.15,Furnished,24,5.0,8.0,Yes,Yes,Under_Construction
Surat,Pal,Independent House,5,4546,461.49,0.1,Semi-furnished,13,6.0,2.0,Yes,Yes,Ready_to_Move
Surat,Vesu,Independent House,1,3929,324.27,0.08,Unfurnished,10,9.0,3.0,No,No,Under_Construction
Ahmedabad,SG Highway,Villa,1,3903,47.59,0.01,Furnished,16,10.0,7.0,Yes,No,Under_Construction
Ahmedabad,Bopal,Independent House,2,3325,375.34,0.11,Unfurnished,5,5.0,4.0,No,No,Ready_to_Move
Ahmedabad,Bopal,Independent House,1,4930,36.91,0.01,Furnished,26,4.0,8.0,Yes,No,Ready_to_Move
Surat,Althan,Independent House,1,3225,90.3,0.03,Unfurnished,3,4.0,5.0,No,No,Under_Construction
Surat,Pal,Independent House,1,4107,385.92,0.09,Semi-furnished,24,4.0,8.0,No,No,Ready_to_Move
Surat,Adajan,Villa,2,1219,114.04,0.09,Furnished,7,3.0,7.0,No,Yes,Under_Construction
Surat,Adajan,Villa,5,654,388.75,0.59,Unfurnished,10,1.0,4.0,No,Yes,Under_Construction
Ahmedabad,SG Highway,Independent House,2,4591,449.62,0.1,Unfurnished,15,9.0,3.0,Yes,No,Under_Construction
Ahmedabad,SG Highway,Villa,5,2911,173.05,0.06,Furnished,34,4.0,9.0,Yes,No,Ready_to_Move
Surat,Piplod,Independent House,2,989,78.35,0.08,Furnished,15,2.0,8.0,No,No,Ready_to_Move
Surat,Althan,Independent House,4,2008,152.2,0.08,Semi-furnished,14,1.0,2.0,No,Yes,Under_Construction
Surat,Piplod,Villa,2,1162,443.19,0.38,Semi-furnished,7,3.0,7.0,No,No,Under_Construction
Surat,Piplod,Apartment,1,1661,363.79,0.22,Furnished,23,6.0,1.0,No,No,Ready_to_Move
Surat,Adajan,Villa,3,4549,349.39,0.08,Furnished,35,8.0,10.0,No,Yes,Under_Construction
Surat,Pal,Independent House,1,2784,48.0,0.02,Semi-furnished,12,1.0,7.0,No,No,Under_Construction
Surat,Vesu,Independent House,4,3838,356.66,0.09,Furnished,29,9.0,4.0,Yes,No,Ready_to_Move
Ahmedabad,Bopal,Apartment,1,1262,476.35,0.38,Semi-furnished,14,4.0,7.0,Yes,Yes,Under_Construction
Ahmedabad,Satellite,Villa,2,4429,416.6,0.09,Furnished,10,6.0,5.0,Yes,Yes,Ready_to_Move
Surat,Althan,Independent House,1,1966,138.26,0.07,Semi-furnished,29,3.0,7.0,Yes,Yes,Under_Construction
Surat,Pal,Apartment,2,4943,499.29,0.1,Furnished,7,10.0,1.0,Yes,No,Under_Construction
Ahmedabad,Gota,Apartment,5,1812,470.34,0.26,Semi-furnished,10,10.0,7.0,Yes,No,Under_Construction
Surat,Adajan,Villa,4,1021,78.07,0.08,Unfurnished,6,6.0,5.0,No,Yes,Ready_to_Move
Ahmedabad,SG Highway,Villa,4,4358,318.7,0.07,Semi-furnished,26,7.0,5.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Independent House,4,4110,493.11,0.12,Semi-furnished,11,3.0,7.0,Yes,Yes,Under_Construction
Ahmedabad,Navrangpura,Apartment,2,1507,103.66,0.07,Unfurnished,32,10.0,2.0,No,No,Under_Construction
Surat,Vesu,Independent House,2,2391,312.33,0.13,Furnished,27,5.0,6.0,Yes,No,Ready_to_Move
Surat,Vesu,Apartment,3,3039,150.61,0.05,Furnished,28,4.0,9.0,Yes,No,Ready_to_Move
Ahmedabad,Bopal,Villa,3,3008,317.98,0.11,Semi-furnished,28,6.0,1.0,Yes,Yes,Ready_to_Move
Surat,Piplod,Villa,2,2393,72.37,0.03,Furnished,33,4.0,4.0,Yes,No,Under_Construction
Surat,Piplod,Independent House,5,1044,341.92,0.33,Semi-furnished,25,9.0,3.0,Yes,Yes,Ready_to_Move
Ahmedabad,Bopal,Independent House,1,1911,101.84,0.05,Semi-furnished,22,7.0,3.0,Yes,No,Under_Construction
Ahmedabad,SG Highway,Apartment,2,4361,401.69,0.09,Furnished,8,10.0,9.0,No,No,Ready_to_Move
Ahmedabad,Satellite,Villa,4,4884,389.88,0.08,Furnished,27,10.0,2.0,Yes,Yes,Under_Construction
Ahmedabad,Bopal,Apartment,2,861,95.56,0.11,Unfurnished,33,3.0,6.0,Yes,Yes,Under_Construction
Ahmedabad,SG Highway,Villa,3,4525,478.55,0.11,Furnished,9,6.0,1.0,No,Yes,Under_Construction
Ahmedabad,Satellite,Apartment,1,3011,322.77,0.11,Unfurnished,6,6.0,5.0,No,Yes,Under_Construction
Ahmedabad,Navrangpura,Villa,4,2209,160.08,0.07,Furnished,21,2.0,6.0,No,No,Under_Construction
